name,tier,rf_importance,univariate,mi
HPVADSH1,weak,0.0002346202455718136,0.0998092869434192,0.00036310675808677497
CRGVHOU2,moderate,0.00022722175438748206,0.029960195029211514,3.7381858867143055e-05
INSULIN1,weak,0.0002255282836667935,0.040298773939638294,9.598618880250613e-05
DIABTYPE,weak,0.00022453852157978843,0.027786398812567916,3.243569281149159e-05
CSRVTRT3,weak,0.00022012693297210773,0.028154573348362147,6.91051828199569e-06
NOBCUSE8,weak,0.00021001591060553038,0.14122836016009757,0.00013527827036848234
CNCRDIFF,weak,0.00020664658977050763,0.03526053935102333,2.0471209033653547e-05
FEETSORE,weak,0.00020384828253171375,0.14563792338856296,0.0003809801434535604
NUMHHOL4,weak,0.00019655964006995097,0.01620559757135382,0.00012265798793177754
MARJOTHR,moderate,0.00019283741152729579,0.038445896807075726,0.00031110854746703323
PFPPRVN4,weak,0.0001881641267781929,0.046999086316991526,0.000144032523101741
ACEPRISN,strong,0.00018685245835484886,0.12507993076404983,0.00034949399237950776
NUMPHON4,weak,0.00018488340467385595,0.039050176871804426,5.374263437408713e-05
PSATIME1,weak,0.00017357429498762869,0.051396053058358857,0.00015051887549070607
SHINGLE2,moderate,0.00017100971404289525,0.02064902360806327,2.636238524083781e-05
PREGNANT,weak,0.00016624968417072882,0.03441948436605566,0.00010803331060157701
CSRVDOC1,weak,0.00015701969872175385,0.14188730332888083,7.742848271986665e-05
CSRVSUM,weak,0.00011748343720878326,0.03408741691043743,4.524485035478293e-06
CSRVRTRN,weak,0.00010705773711099494,0.04633387631916287,1.045137553435532e-05
PCPSARS2,weak,9.413809221310676e-05,0.06738110694008846,8.546102294158613e-05
CSRVPAIN,weak,7.669398578431493e-05,0.0732974087932612,2.956059193893833e-05
PSASUGS1,weak,7.439249990625305e-05,0.04204922274009275,8.854492053456678e-05
CSRVINSR,weak,6.049382997987485e-05,0.1138621086425574,4.494289275857611e-05
CSRVCTL2,weak,4.968828714943718e-05,0.28912051986403947,8.104583823954591e-05
CSRVDEIN,weak,3.975437883245894e-05,0.08128381681372192,2.6778908232258003e-05
CSRVINST,weak,2.0334861696577094e-05,0.0780193255825096,1.5380497946027136e-05
CSRVCLIN,weak,1.8650289597798862e-05,0.06272387470098371,1.9176269693899558e-05
FMONTH,skip,,,
IDATE,skip,,,
IMONTH,skip,,,
IDAY,skip,,,
IYEAR,skip,,,
DISPCODE,skip,,,
SEQNO,skip,,,
_PSU,skip,,,
CTELENM1,skip,,,
PVTRESD1,skip,,,
COLGHOUS,skip,,,
STATERE1,skip,,,
CELPHON1,skip,,,
LADULT1,skip,,,
RESPSLC1,skip,,,
LANDSEX3,skip,,,
SAFETIME,skip,,,
CTELNUM1,skip,,,
CELLFON5,skip,,,
CADULT1,skip,,,
CELLSEX3,skip,,,
PVTRESD3,skip,,,
CCLGHOUS,skip,,,
CSTATE1,skip,,,
LANDLINE,skip,,,
SEXVAR,skip,,,
RCSGEND1,skip,,,
RCSXBRTH,skip,,,
RCSRLTN2,skip,,,
CASTHDX2,skip,,,
CASTHNO2,skip,,,
QSTVER,skip,,,
QSTLANG,skip,,,
HPVDSHT,skip,,,
ICFQSTVR,skip,,,
_STSTR,skip,,,
_STRWT,skip,,,
_RAWRAKE,skip,,,
_WT2RAKE,skip,,,
_IMPRACE,skip,,,
_CHISPNC,skip,,,
_CRACE1,skip,,,
CAGEG,skip,,,
_CLLCPWT,skip,,,
_DUALUSE,skip,,,
_DUALCOR,skip,,,
_LLCPWT2,skip,,,
_LLCPWT,skip,,,
